BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
1615,4.201,7.8648,4.27,7.9316,4.22870588235,7.892277914438,17,,,,,,,
1620,4.202,7.8657,4.27,7.9327,4.23866666667,7.893516417112,12,,,,,,,
1625,4.201,7.8663,4.282,7.9335,4.23235294118,7.893185464731,17,,,,,,,
1630,4.201,7.867,4.282,7.932,4.22452941176,7.893450170613,17,,,,,,,
1635,4.202,7.8683,4.271,7.93,4.23383333333,7.894386118326,12,,,,,,,
1640,4.203,7.8686,4.261,7.9301,4.2246,7.893967490875,10,,,,,,,
1645,4.203,7.8686,4.28,7.9299,4.24,7.893815824208,6,,,,,,,
1650,4.203,7.869,4.269,7.9286,4.23245454545,7.893322490875,11,,,,,,,
1655,4.226,7.869,4.258,7.9287,4.237,7.893007805561,5,,,,,,,
1660,4.206,7.8667,4.273,7.9302,4.23063636364,7.892274472228,11,,,,,,,
1665,4.21,7.8676,4.281,7.9304,4.24109090909,7.89396639142,11,,,,,,,
1670,4.208,7.867,4.278,7.9282,4.23535714286,7.893071586225,14,,,,,,,
1675,4.208,7.8686,4.267,7.9278,4.235,7.894255871939,8,,,,,,,
1680,4.214,7.8692,4.262,7.9282,4.23388888889,7.895118371939,18,,,,,,,
1685,4.205,7.8708,4.272,7.9309,4.22964705882,7.897186625907,17,,,,,,,
1690,4.203,7.8724,4.259,7.9326,4.22308333333,7.898771920025,12,,,,,,,
1695,4.207,7.873,4.267,7.9341,4.23506666667,7.900523586692,15,,,,,,,
1700,4.203,7.8744,4.27,7.9341,4.22930769231,7.900774062882,13,,,,,,,
1705,4.203,7.8746,4.273,7.9348,4.22966666667,7.901054404762,12,,,,,,,
1710,4.215,7.8749,4.275,7.9347,4.24755555556,7.901121071428,9,,,,,,,
1715,4.204,7.874,4.259,7.9353,4.23214285714,7.900382182539,14,,,,,,,
1720,4.224,7.8773,4.274,7.9363,4.2472,7.902367896825,5,,,,,,,
1725,4.214,7.8755,4.271,7.9364,4.243625,7.901116646825,8,,,,,,,
1730,4.23,7.8746,4.289,7.9371,4.25457142857,7.899835965007,14,,,,,,,
1735,4.221,7.8729,4.289,7.9363,4.2455,7.898756599928,4,,,,,,,
1740,4.209,7.8715,4.274,7.9348,4.2406,7.897370236292,10,,,,,,,
1745,4.221,7.8729,4.267,7.9352,4.23757142857,7.897226902959,7,,,,,,,
1750,4.205,7.872,4.277,7.9352,4.23211111111,7.896931298564,9,,,,,,,
1755,4.206,7.8724,4.272,7.9354,4.23033333333,7.89743685412,9,,,,,,,
1760,4.206,7.8724,4.281,7.9358,4.24016666667,7.899463520787,6,,,,,,,
1765,4.237,7.8724,4.269,7.9351,4.252,7.898911139834,4,,,,,,,
1770,4.206,7.8693,4.275,7.9345,4.2346875,7.896544473167,16,,,,,,,
1775,4.205,7.8703,4.278,7.9348,4.23081818182,7.896975723167,11,,,,,,,
1780,4.213,7.8713,4.281,7.9354,4.24377777778,7.898277238318,9,,,,,,,
1785,4.207,7.8723,4.274,7.9334,4.23163636364,7.89753946054,11,,,,,,,
1790,4.223,7.8727,4.278,7.9344,4.23916666667,7.898692490843,6,,,,,,,
1795,4.212,7.8709,4.267,7.9341,4.23461538462,7.898353601954,13,,,,,,,
1800,4.209,7.8725,4.279,7.9358,4.23716666667,7.899517063492,12,,,,,,,
1805,4.206,7.8726,4.276,7.9352,4.2506,7.900022619047,10,,,,,,,
1810,4.206,7.8726,4.274,7.9351,4.23464285714,7.898271709956,14,,,,,,,
1815,4.206,7.8728,4.263,7.9361,4.22833333333,7.899207424242,15,,,,,,,
1820,4.216,7.8735,4.278,7.938,4.239,7.901046818182,9,,,,,,,
1825,4.215,7.8727,4.284,7.9385,4.24383333333,7.900887994653,12,,,,,,,
1830,4.223,7.8719,4.261,7.9386,4.2364,7.90035466132,10,,,,,,,
1835,4.211,7.8704,4.284,7.9399,4.24316666667,7.90104466132,12,,,,,,,
1840,4.205,7.8713,4.275,7.9388,4.23577777778,7.90214466132,9,,,,,,,
1845,4.228,7.8714,4.284,7.9399,4.24625,7.901830519906,8,,,,,,,
1850,4.21,7.8721,4.273,7.9393,4.24222222222,7.90214996435,9,,,,,,,
1855,4.206,7.8719,4.275,7.9409,4.23309090909,7.902407742128,11,,,,,,,
1860,4.208,7.8723,4.284,7.9411,4.244,7.902927222648,12,,,,,,,
1865,4.213,7.873,4.282,7.9403,4.24672727273,7.903110555981,11,,,,,,,
1870,4.208,7.8724,4.283,7.9397,4.23741176471,7.902365101435,17,,,,,,,
1875,4.207,7.8726,4.285,7.9392,4.2385,7.903190591631,14,,,,,,,
1880,4.208,7.8727,4.274,7.9372,4.2433,7.902860591631,10,,,,,,,
1885,4.22,7.873,4.273,7.9373,4.25416666667,7.903330591631,6,,,,,,,
1890,4.206,7.872,4.286,7.9369,4.23263636364,7.900542496393,22,,,,,,,
1895,4.235,7.8725,4.278,7.9359,4.24944444444,7.901858860029,9,,,,,,,
1900,4.208,7.8698,4.289,7.9361,4.2448,7.900047748918,10,,,,,,,
1905,4.21,7.8702,4.277,7.9348,4.23828571429,7.900142748918,7,,,,,,,
1910,4.215,7.8701,4.276,7.9348,4.24583333333,7.900474177489,6,,,,,,,
1915,4.207,7.8694,4.276,7.9351,4.23927272727,7.900315844156,11,,,,,,,
1920,4.21,7.8698,4.278,7.9343,4.24566666667,7.900338571429,9,,,,,,,
1925,4.208,7.8699,4.265,7.9331,4.2352,7.899888571429,10,,,,,,,
1930,4.211,7.8699,4.275,7.9329,4.248,7.899798571429,10,,,,,,,
1935,4.21,7.8696,4.269,7.9333,4.22628571429,7.899658571429,14,,,,,,,
1940,4.211,7.8709,4.276,7.935,4.2458,7.902663333333,10,,,,,,,
1945,4.208,7.872,4.28,7.9358,4.23133333333,7.902873333333,12,,,,,,,
1950,4.212,7.8721,4.276,7.9323,4.24575,7.902706666667,12,,,,,,,
1955,4.209,7.872,4.277,7.9331,4.2416,7.903411666667,15,,,,,,,
1960,4.208,7.8723,4.279,7.9333,4.24425,7.902611666667,8,,,,,,,
1965,4.211,7.8726,4.268,7.9313,4.2395,7.901446666667,6,,,,,,,
1970,4.211,7.8726,4.266,7.9321,4.24116666667,7.902036666667,6,,,,,,,
1975,4.208,7.8726,4.263,7.9328,4.2343,7.902186666667,10,,,,,,,
1980,4.208,7.8734,4.279,7.9338,4.2466,7.903006666667,10,,,,,,,
1985,4.223,7.8735,4.286,7.9349,4.25633333333,7.901646666667,9,,,,,,,
1990,4.222,7.8724,4.284,7.9344,4.2479,7.900173333334,10,,,,,,,
1995,4.209,7.8718,4.245,7.932,4.22966666667,7.899383333334,6,,,,,,,
2000,4.211,7.872,4.284,7.9356,4.2528,7.900788095238,10,,,,,,,
2005,4.212,7.8726,4.279,7.9354,4.2336,7.899733095238,10,,,,,,,
2010,4.211,7.874,4.259,7.9362,4.2326,7.901439761905,10,,,,,,,
2015,4.211,7.874,4.276,7.9394,4.2454,7.902825915751,10,,,,,,,
2020,4.211,7.8741,4.273,7.9405,4.24266666667,7.90280356281,12,,,,,,,
2025,4.216,7.8744,4.273,7.9408,4.2425,7.902745229476,6,,,,,,,
2030,4.209,7.8739,4.29,7.9409,4.233,7.903885229476,17,,,,,,,
2035,4.212,7.8741,4.281,7.94,4.2416,7.905105229476,10,,,,,,,
2040,4.216,7.8754,4.26,7.9408,4.24,7.905913650529,10,,,,,,,
2045,4.211,7.875,4.281,7.9433,4.24371428571,7.906653650529,14,,,,,,,
2050,4.217,7.8749,4.282,7.9437,4.24225,7.905925079101,8,,,,,,,
2055,4.226,7.875,4.287,7.9438,4.25066666667,7.906771507672,6,,,,,,,
2060,4.211,7.8737,4.291,7.9434,4.24646153846,7.905958687159,13,,,,,,,
2065,4.212,7.8741,4.287,7.943,4.24517647059,7.907156977757,17,,,,,,,
2070,4.214,7.8742,4.276,7.942,4.24208333333,7.906989330698,12,,,,,,,
2075,4.211,7.8742,4.274,7.9422,4.2539,7.906834843519,10,,,,,,,
2080,4.211,7.8744,4.281,7.9432,4.2452,7.906232343519,15,,,,,,,
2085,4.225,7.8747,4.289,7.9434,4.24968421053,7.907420676852,19,,,,,,,
2090,4.212,7.8737,4.285,7.9425,4.2474,7.906738922466,15,,,,,,,
2095,4.21,7.8742,4.285,7.943,4.23642857143,7.907498922466,14,,,,,,,
2100,4.218,7.8752,4.283,7.941,4.25071428571,7.908416065323,7,,,,,,,
2105,4.213,7.8746,4.283,7.9422,4.24253846154,7.908084636752,13,,,,,,,
2110,4.215,7.8754,4.287,7.9421,4.25844444444,7.908885336053,9,,,,,,,
2115,4.213,7.8751,4.277,7.9385,4.2435,7.906720891609,10,,,,,,,
2120,4.214,7.8758,4.278,7.9394,4.24053846154,7.907604224942,13,,,,,,,
2125,4.213,7.8766,4.284,7.9411,4.247875,7.908790378788,8,,,,,,,
2130,4.214,7.8769,4.283,7.9402,4.25708333333,7.908777878788,12,,,,,,,
2135,4.215,7.8768,4.28,7.9407,4.24286666667,7.908008006993,15,,,,,,,
2140,4.217,7.8771,4.29,7.9412,4.255,7.908707054612,15,,,,,,,
2145,4.22,7.8778,4.265,7.9396,4.2456,7.908097963703,5,,,,,,,
2150,4.212,7.877,4.295,7.9415,4.2474,7.908837963703,15,,,,,,,
2155,4.221,7.8778,4.282,7.942,4.25054545455,7.909942408147,11,,,,,,,
2160,4.212,7.877,4.251,7.9423,4.2368,7.90930604451,15,,,,,,,
2165,4.22,7.8773,4.286,7.9455,4.25233333333,7.909597473081,9,,,,,,,
2170,4.222,7.8769,4.295,7.9448,4.2524,7.908678425462,10,,,,,,,
2175,4.216,7.8769,4.275,7.9431,4.24775,7.907681282605,12,,,,,,,
2180,4.213,7.8767,4.288,7.9433,4.24938461538,7.906893782605,13,,,,,,,
2185,4.218,7.8769,4.285,7.9431,4.24985714286,7.906930321067,7,,,,,,,
2190,4.224,7.8768,4.274,7.9422,4.24890909091,7.906319606781,11,,,,,,,
2195,4.212,7.8763,4.284,7.9436,4.253,7.90642869769,15,,,,,,,
2200,4.22,7.8766,4.3,7.9426,4.25844444444,7.904883243145,9,,,,,,,
2205,4.213,7.876,4.285,7.94,4.24418181818,7.903213798701,11,,,,,,,
2210,4.215,7.8764,4.283,7.9402,4.23971428571,7.903055616883,14,,,,,,,
2215,4.216,7.8766,4.279,7.9389,4.24314285714,7.902273077201,7,,,,,,,
2220,4.222,7.8766,4.278,7.94,4.24242857143,7.902351099179,14,,,,,,,
2225,4.214,7.8758,4.277,7.9425,4.239875,7.903101099179,16,,,,,,,
2230,4.215,7.8759,4.286,7.9445,4.24975,7.904763599179,16,,,,,,,
2235,4.217,7.8761,4.276,7.9454,4.24375,7.904024962815,8,,,,,,,
2240,4.219,7.8759,4.288,7.9472,4.25,7.905714248529,12,,,,,,,
2245,4.215,7.8761,4.274,7.9463,4.23754545455,7.905430915196,11,,,,,,,
2250,4.214,7.8762,4.274,7.9473,4.24175,7.905830915196,16,,,,,,,
2255,4.217,7.8765,4.287,7.9485,4.2426,7.906185915196,10,,,,,,,
2260,4.217,7.8769,4.27,7.9501,4.23188888889,7.907808268137,9,,,,,,,
2265,4.216,7.877,4.29,7.9533,4.24392307692,7.908726522105,13,,,,,,,
2270,4.214,7.8772,4.303,7.9519,4.24992857143,7.908377071556,14,,,,,,,
2275,4.215,7.8775,4.297,7.9507,4.2565,7.907647850777,12,,,,,,,
2280,4.217,7.8786,4.295,7.9487,4.24236363636,7.906797850777,11,,,,,,,
2285,4.215,7.8786,4.294,7.9442,4.26064285714,7.905944820474,14,,,,,,,
2290,4.221,7.8792,4.279,7.9432,4.24716666667,7.904233868093,6,,,,,,,
2295,4.216,7.8793,4.284,7.9448,4.24154545455,7.904600534759,11,,,,,,,
2300,4.217,7.8795,4.286,7.9452,4.2453,7.904035989304,10,,,,,,,
2305,4.221,7.8801,4.303,7.9454,4.25882352941,7.905151443849,17,,,,,,,
2310,4.218,7.8798,4.302,7.9442,4.24107142857,7.903999090908,14,,,,,,,
2315,4.218,7.8799,4.276,7.9427,4.24042857143,7.905160698051,7,,,,,,,
2320,4.217,7.8802,4.291,7.9452,4.24263636364,7.906337840908,11,,,,,,,
2325,4.226,7.8818,4.277,7.9446,4.248,7.907536704544,8,,,,,,,
2330,4.217,7.8809,4.25,7.9439,4.23383333333,7.906318522726,6,,,,,,,
2335,4.221,7.8808,4.284,7.9468,4.24353333333,7.906875189393,15,,,,,,,
2340,4.222,7.8806,4.295,7.9467,4.25083333333,7.907114713203,12,,,,,,,
2345,4.218,7.8804,4.288,7.9468,4.2359,7.90760137987,10,,,,,,,
2350,4.223,7.8804,4.288,7.9472,4.25645454545,7.909065925325,11,,,,,,,
2355,4.218,7.8813,4.291,7.9475,4.2473,7.909065925325,10,,,,,,,
2360,4.219,7.8813,4.287,7.9474,4.2526875,7.909059002248,16,,,,,,,
2365,4.221,7.8815,4.301,7.9492,4.2522,7.908248585581,10,,,,,,,
2370,4.233,7.881,4.285,7.9474,4.254625,7.907771442724,8,,,,,,,
2375,4.217,7.8795,4.27,7.9485,4.23581818182,7.907475609391,11,,,,,,,
2380,4.216,7.8799,4.279,7.9507,4.2394,7.909013791209,5,,,,,,,
2385,4.219,7.8801,4.283,7.9519,4.24592857143,7.911238497091,14,,,,,,,
2390,4.22,7.8803,4.296,7.9529,4.2557,7.912917068519,10,,,,,,,
2395,4.218,7.8803,4.292,7.9512,4.25054545455,7.911677068519,11,,,,,,,
2400,4.232,7.8805,4.291,7.9508,4.25645454545,7.910889189731,11,,,,,,,
2405,4.218,7.8792,4.29,7.9518,4.24723076923,7.911243735186,13,,,,,,,
2410,4.221,7.88,4.305,7.9519,4.24458333333,7.912449229692,12,,,,,,,
2415,4.216,7.8798,4.283,7.9513,4.24742857143,7.913930896359,7,,,,,,,
2420,4.218,7.8809,4.296,7.9524,4.25166666667,7.915276928105,12,,,,,,,
2425,4.221,7.8814,4.292,7.9522,4.2512,7.91577496732,10,,,,,,,
2430,4.218,7.8823,4.291,7.9517,4.26164705882,7.915747824463,17,,,,,,,
2435,4.221,7.8831,4.293,7.9514,4.26271428571,7.91495234935,7,,,,,,,
2440,4.22,7.883,4.279,7.9472,4.2433,7.912380920779,10,,,,,,,
2445,4.22,7.883,4.288,7.9489,4.24266666667,7.913069102597,12,,,,,,,
2450,4.219,7.8839,4.301,7.9496,4.26,7.91507243593,11,,,,,,,
2455,4.226,7.8838,4.291,7.9487,4.25928571429,7.91482243593,7,,,,,,,
2460,4.219,7.8833,4.299,7.949,4.2594,7.913993864501,10,,,,,,,
2465,4.227,7.8835,4.294,7.9479,4.26088888889,7.913200018347,9,,,,,,,
2470,4.223,7.8828,4.294,7.9492,4.25664705882,7.913341898689,17,,,,,,,
2475,4.23,7.8826,4.287,7.9489,4.25092857143,7.911827192807,14,,,,,,,
2480,4.226,7.8817,4.288,7.9496,4.25369230769,7.912001002331,13,,,,,,,
2485,4.22,7.8822,4.251,7.9502,4.237,7.91240954934,8,,,,,,,
2490,4.22,7.8829,4.296,7.9549,4.25018181818,7.91467204934,11,,,,,,,
2495,4.229,7.885,4.295,7.9556,4.2627,7.916683867522,10,,,,,,,
2500,4.218,7.8857,4.292,7.9554,4.2575,7.916738867522,10,,,,,,,
2505,4.221,7.8859,4.294,7.9569,4.251,7.916538867522,9,,,,,,,
2510,4.221,7.8861,4.288,7.957,4.25146153846,7.918105534189,13,,,,,,,
2515,4.22,7.886,4.307,7.9584,4.26230769231,7.9194665232,13,,,,,,,
2520,4.221,7.8872,4.291,7.9534,4.2415,7.917969087302,6,,,,,,,
2525,4.221,7.8873,4.294,7.9526,4.25266666667,7.918830198413,12,,,,,,,
2530,4.231,7.8879,4.294,7.9518,4.25777777778,7.919071865079,9,,,,,,,
2535,4.227,7.8872,4.298,7.9526,4.259625,7.918715515872,8,,,,,,,
2540,4.241,7.8866,4.303,7.9507,4.2703,7.917853015872,10,,,,,,,
2545,4.236,7.8846,4.293,7.9492,4.26325,7.915765873015,8,,,,,,,
2550,4.22,7.8831,4.307,7.9493,4.2555,7.91439541847,10,,,,,,,
2555,4.223,7.8834,4.295,7.9493,4.26666666667,7.91470791847,12,,,,,,,
2560,4.22,7.8859,4.302,7.9501,4.26507142857,7.915041251803,14,,,,,,,
2565,4.232,7.8862,4.257,7.9482,4.24733333333,7.913971608946,6,,,,,,,
2570,4.222,7.8852,4.283,7.9527,4.25011111111,7.91590494228,9,,,,,,,
2575,4.227,7.8862,4.286,7.9536,4.25508333333,7.916612012987,12,,,,,,,
2580,4.224,7.8859,4.302,7.9544,4.25421428571,7.916603679654,14,,,,,,,
2585,4.221,7.8861,4.279,7.9535,4.251,7.918392251083,6,,,,,,,
2590,4.221,7.8864,4.288,7.9556,4.24942857143,7.919154751083,7,,,,,,,
2595,4.221,7.8869,4.294,7.956,4.24954545455,7.91988189394,11,,,,,,,
2600,4.223,7.8872,4.307,7.9545,4.258625,7.920616237374,8,,,,,,,
2605,4.248,7.8873,4.303,7.9537,4.27,7.919953737374,3,,,,,,,
2610,4.223,7.8847,4.283,7.9524,4.254375,7.917634987374,8,,,,,,,
2615,4.222,7.8857,4.302,7.9507,4.26666666667,7.917037487374,12,,,,,,,
2620,4.232,7.8873,4.292,7.9497,4.25718181818,7.916424666861,11,,,,,,,
2625,4.224,7.8866,4.294,7.9504,4.255,7.916443985043,9,,,,,,,
2630,4.226,7.8879,4.293,7.9505,4.2721,7.917793985043,10,,,,,,,
2635,4.224,7.8877,4.3,7.9517,4.258625,7.916283985043,16,,,,,,,
2640,4.226,7.8879,4.292,7.952,4.2567,7.916275331197,10,,,,,,,
2645,4.224,7.8877,4.279,7.952,4.25688888889,7.916260886753,9,,,,,,,
2650,4.224,7.8881,4.299,7.9532,4.252,7.91572755342,13,,,,,,,
2655,4.222,7.8882,4.29,7.9541,4.2468125,7.915741839134,16,,,,,,,
2660,4.233,7.8888,4.266,7.9546,4.2484,7.916927255801,5,,,,,,,
2665,4.238,7.888,4.292,7.9576,4.26053846154,7.917359983074,13,,,,,,,
2670,4.225,7.8869,4.299,7.9576,4.257375,7.91649613692,8,,,,,,,
2675,4.237,7.8869,4.295,7.9588,4.2685,7.916689406151,10,,,,,,,
2680,4.224,7.8856,4.305,7.9597,4.257,7.916872739484,9,,,,,,,
2685,4.226,7.8856,4.303,7.9584,4.25853846154,7.917067739484,13,,,,,,,
2690,4.224,7.8869,4.292,7.9572,4.25655555556,7.917191671108,9,,,,,,,
2695,4.228,7.8891,4.291,7.9578,4.25155555556,7.917486115552,9,,,,,,,
2700,4.225,7.8898,4.308,7.9586,4.25214285714,7.91827761882,7,,,,,,,
2705,4.228,7.8897,4.295,7.9577,4.25866666667,7.918145151288,12,,,,,,,
2710,4.225,7.8894,4.296,7.9565,4.25272727273,7.916914848257,11,,,,,,,
2715,4.227,7.8896,4.292,7.958,4.2519,7.917595454317,10,,,,,,,
2720,4.225,7.8896,4.311,7.9578,4.25930769231,7.918019740031,13,,,,,,,
2725,4.224,7.89,4.304,7.9577,4.27033333333,7.918460399371,12,,,,,,,
2730,4.224,7.8912,4.292,7.9568,4.25895,7.918447066038,20,,,,,,,
2735,4.239,7.8922,4.291,7.9566,4.25977777778,7.918092066038,9,,,,,,,
2740,4.246,7.8911,4.298,7.9576,4.2595,7.917680954927,8,,,,,,,
2745,4.235,7.89,4.299,7.9579,4.25947058824,7.9189036822,17,,,,,,,
2750,4.224,7.8893,4.299,7.958,4.25081818182,7.918427211611,11,,,,,,,
2755,4.225,7.8897,4.283,7.9576,4.24636363636,7.918857158135,11,,,,,,,
2760,4.227,7.8912,4.311,7.9601,4.25953333333,7.921243016721,15,,,,,,,
2765,4.227,7.8912,4.29,7.9591,4.25614285714,7.920589683388,7,,,,,,,
2770,4.229,7.8916,4.31,7.9608,4.26371428571,7.922420852219,14,,,,,,,
2775,4.236,7.8926,4.295,7.9601,4.2702,7.922803969103,10,,,,,,,
2780,4.234,7.8924,4.29,7.9605,4.2554,7.921574878194,5,,,,,,,
2785,4.228,7.8919,4.301,7.9606,4.25566666667,7.921250262809,12,,,,,,,
2790,4.235,7.8928,4.301,7.9613,4.27172727273,7.922621096142,11,,,,,,,
2795,4.228,7.8922,4.3,7.9612,4.25470588235,7.921428368869,17,,,,,,,
2800,4.228,7.8928,4.295,7.9611,4.25511764706,7.92171333619,17,,,,,,,
2805,4.24,7.8928,4.308,7.9607,4.27022222222,7.92083728577,9,,,,,,,
2810,4.227,7.8918,4.301,7.959,4.253,7.918965063548,17,,,,,,,
2815,4.231,7.892,4.307,7.9597,4.27445454545,7.919683813548,11,,,,,,,
2820,4.239,7.8931,4.303,7.9597,4.26754545455,7.918828359003,11,,,,,,,
2825,4.234,7.8932,4.299,7.9596,4.25790909091,7.917973813548,11,,,,,,,
2830,4.229,7.8929,4.291,7.9597,4.25215384615,7.91814123779,13,,,,,,,
2835,4.237,7.8951,4.308,7.9608,4.269375,7.919636964286,16,,,,,,,
2840,4.229,7.8943,4.3,7.96,4.2598,7.917917646104,10,,,,,,,
2845,4.234,7.8948,4.299,7.958,4.25755555556,7.917883100649,9,,,,,,,
2850,4.228,7.8941,4.291,7.955,4.24635714286,7.917220878426,14,,,,,,,
2855,4.23,7.8943,4.291,7.9561,4.2515,7.918870878426,10,,,,,,,
2860,4.229,7.8942,4.308,7.9586,4.2601875,7.920562545093,16,,,,,,,
2865,4.242,7.8954,4.307,7.9579,4.2659,7.922068795093,10,,,,,,,
2870,4.24,7.8947,4.302,7.956,4.259,7.92153593795,9,,,,,,,
2875,4.231,7.8936,4.3,7.9564,4.25958333333,7.92171093795,12,,,,,,,
2880,4.251,7.8935,4.302,7.9569,4.26711111111,7.922087898735,9,,,,,,,
2885,4.229,7.8951,4.3,7.9572,4.25218181818,7.924176787624,11,,,,,,,
2890,4.234,7.8951,4.28,7.9542,4.25945454545,7.924308605806,11,,,,,,,
2895,4.227,7.8947,4.269,7.9562,4.25093333333,7.924298445379,15,,,,,,,
2900,4.23,7.8951,4.302,7.9598,4.26285714286,7.925532384773,14,,,,,,,
2905,4.229,7.8955,4.316,7.9595,4.26841666667,7.925424448265,12,,,,,,,
2910,4.241,7.8955,4.301,7.9583,4.27525,7.925090473906,12,,,,,,,
2915,4.235,7.8956,4.288,7.9576,4.26057142857,7.923443251684,7,,,,,,,
2920,4.229,7.8962,4.306,7.9591,4.26075,7.924874997716,12,,,,,,,
2925,4.23,7.8964,4.305,7.9568,4.26335294118,7.924285712002,17,,,,,,,
2930,4.267,7.8962,4.305,7.9562,4.288,7.923417084551,4,,,,,,,
2935,4.229,7.8926,4.27,7.9559,4.2535,7.921217084551,6,,,,,,,
2940,4.23,7.8942,4.3,7.959,4.25935294118,7.922042084551,17,,,,,,,
2945,4.231,7.8955,4.305,7.9608,4.26327272727,7.922379517706,11,,,,,,,
2950,4.234,7.896,4.299,7.9601,4.26177777778,7.921883494979,9,,,,,,,
2955,4.229,7.8973,4.304,7.9613,4.26507692308,7.923075717201,13,,,,,,,
2960,4.242,7.8988,4.294,7.9614,4.25877777778,7.922948024893,9,,,,,,,
2965,4.241,7.8986,4.303,7.9619,4.27488888889,7.924748024893,9,,,,,,,
2970,4.231,7.8976,4.283,7.9595,4.25485714286,7.922866828312,7,,,,,,,
2975,4.228,7.8977,4.299,7.9607,4.25466666667,7.922481114026,3,,,,,,,
2980,4.231,7.8982,4.302,7.9611,4.266,7.924054447359,24,,,,,,,
2985,4.245,7.8991,4.301,7.9622,4.26175,7.924083018788,12,,,,,,,
2990,4.243,7.8977,4.318,7.9629,4.26272727273,7.924138018788,11,,,,,,,
2995,4.236,7.8969,4.298,7.9612,4.2583125,7.924748624848,16,,,,,,,
3000,4.247,7.8965,4.311,7.9618,4.2737,7.924859041515,10,,,,,,,
3005,4.244,7.8958,4.305,7.9615,4.2638,7.924533485959,5,,,,,,,
3010,4.24,7.8947,4.299,7.9617,4.27677777778,7.925409735959,9,,,,,,,
3015,4.231,7.8939,4.279,7.962,4.25607692308,7.924017672467,13,,,,,,,
3020,4.232,7.8941,4.295,7.965,4.251,7.926021744865,13,,,,,,,
3025,4.233,7.8967,4.303,7.9657,4.2704,7.928541744865,10,,,,,,,
3030,4.24,7.8966,4.313,7.9659,4.26628571429,7.928001744865,14,,,,,,,
3035,4.231,7.8961,4.308,7.9659,4.2623,7.928764082527,20,,,,,,,
3040,4.235,7.8963,4.301,7.9655,4.26883333333,7.929087928681,6,,,,,,,
3045,4.232,7.8969,4.304,7.9658,4.25941666667,7.929297452491,12,,,,,,,
3050,4.24,7.8969,4.308,7.967,4.27044444444,7.929575785824,9,,,,,,,
3055,4.233,7.897,4.307,7.9668,4.2725625,7.929959912809,16,,,,,,,
3060,4.232,7.8969,4.302,7.966,4.26285714286,7.928903662809,7,,,,,,,
3065,4.233,7.8968,4.309,7.9678,4.27611764706,7.928317948523,17,,,,,,,
3070,4.258,7.8982,4.302,7.9675,4.2762,7.928520469531,5,,,,,,,
3075,4.232,7.8969,4.305,7.9668,4.265,7.926883802864,10,,,,,,,
3080,4.235,7.8971,4.313,7.967,4.27390909091,7.926696302864,11,,,,,,,
3085,4.233,7.8979,4.304,7.9665,4.26553846154,7.925905393773,13,,,,,,,
3090,4.241,7.8981,4.304,7.9664,4.27092857143,7.925978820346,14,,,,,,,
3095,4.232,7.8981,4.316,7.9656,4.2622,7.924715963203,10,,,,,,,
3100,4.241,7.8983,4.306,7.9661,4.27428571429,7.925632326839,14,,,,,,,
3105,4.232,7.898,4.299,7.9663,4.262,7.925649909256,19,,,,,,,
3110,4.231,7.8983,4.32,7.9682,4.257,7.927249909256,8,,,,,,,
3115,4.247,7.8985,4.306,7.9662,4.27814285714,7.927621337827,7,,,,,,,
3120,4.245,7.8981,4.295,7.9657,4.25983333333,7.926351496557,6,,,,,,,
3125,4.234,7.8985,4.307,7.9671,4.263125,7.928149981406,16,,,,,,,
3130,4.243,7.8989,4.308,7.9668,4.266,7.927866052835,11,,,,,,,
3135,4.235,7.898,4.303,7.9666,4.26627272727,7.927399386168,11,,,,,,,
3140,4.241,7.8996,4.296,7.9686,4.2583,7.929272113441,10,,,,,,,
3145,4.234,7.9,4.321,7.969,4.27136363636,7.92993100233,11,,,,,,,
3150,4.238,7.9004,4.308,7.9681,4.27446153846,7.930523210123,13,,,,,,,
3155,4.235,7.9005,4.318,7.9674,4.278,7.929877056277,9,,,,,,,
3160,4.233,7.9008,4.3,7.9662,4.26071428571,7.929139556277,7,,,,,,,
3165,4.243,7.901,4.301,7.9683,4.26544444444,7.930288127706,9,,,,,,,
3170,4.249,7.9003,4.309,7.9707,4.27781818182,7.931193683262,11,,,,,,,
3175,4.238,7.899,4.304,7.9713,4.26028571429,7.929856309524,7,,,,,,,
3180,4.234,7.9002,4.306,7.9714,4.26133333333,7.931240238095,18,,,,,,,
3185,4.251,7.9004,4.323,7.9717,4.285,7.932319404762,7,,,,,,,
3190,4.245,7.8989,4.3,7.9714,4.26488888889,7.930929404762,9,,,,,,,
3195,4.238,7.8978,4.312,7.9727,4.27728571429,7.931913243146,7,,,,,,,
3200,4.239,7.8976,4.301,7.9725,4.268,7.931634671717,11,,,,,,,
3205,4.238,7.8972,4.306,7.9726,4.270625,7.931491814574,8,,,,,,,
3210,4.235,7.8968,4.321,7.9724,4.2722,7.930645981241,10,,,,,,,
3215,4.236,7.8978,4.325,7.9684,4.2745,7.929725981241,8,,,,,,,
3220,4.236,7.8979,4.315,7.9663,4.26444444444,7.929645981241,18,,,,,,,
3225,4.25,7.898,4.305,7.9662,4.274125,7.931708679654,8,,,,,,,
3230,4.236,7.8969,4.309,7.9666,4.272125,7.931609512987,8,,,,,,,
3235,4.236,7.8973,4.32,7.9655,4.2711,7.931863679654,10,,,,,,,
