BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
370,4.179,7.8405,4.259,7.902,4.209,7.868410894574,13,,,,,,,
375,4.175,7.8409,4.233,7.8997,4.1961,7.868120894574,10,,,,,,,
380,4.177,7.8418,4.241,7.9005,4.21263636364,7.869467144574,11,,,,,,,
385,4.179,7.8417,4.245,7.9005,4.2054,7.868958053665,15,,,,,,,
390,4.177,7.8415,4.242,7.9011,4.20477777778,7.869926386998,9,,,,,,,
395,4.178,7.8426,4.217,7.9012,4.19725,7.870521336493,8,,,,,,,
400,4.188,7.8435,4.247,7.9054,4.21466666667,7.873829669826,6,,,,,,,
405,4.189,7.8437,4.244,7.9042,4.21523076923,7.872988003159,13,,,,,,,
410,4.177,7.8448,4.243,7.9036,4.2101,7.873464926236,10,,,,,,,
415,4.186,7.8449,4.249,7.9051,4.21894736842,7.873944926236,19,,,,,,,
420,4.183,7.8441,4.236,7.904,4.2061,7.871791856061,10,,,,,,,
425,4.184,7.8443,4.241,7.9051,4.2095625,7.872181856061,16,,,,,,,
430,4.176,7.8437,4.241,7.9057,4.20754545455,7.872188106061,11,,,,,,,
435,4.177,7.8442,4.251,7.9068,4.21508333333,7.872072022144,12,,,,,,,
440,4.188,7.845,4.243,7.9061,4.21072727273,7.871426188811,11,,,,,,,
445,4.187,7.8447,4.259,7.906,4.23033333333,7.871603461538,6,,,,,,,
450,4.19,7.845,4.235,7.9055,4.20625,7.871112985348,8,,,,,,,
455,4.2,7.844,4.238,7.9058,4.22,7.871260712621,6,,,,,,,
460,4.178,7.8428,4.258,7.9071,4.2149,7.871485712621,20,,,,,,,
465,4.178,7.843,4.238,7.9066,4.19741666667,7.872358212621,12,,,,,,,
470,4.185,7.8442,4.247,7.9062,4.21,7.873799879287,5,,,,,,,
475,4.178,7.8439,4.247,7.9061,4.209625,7.874662379287,8,,,,,,,
480,4.181,7.8449,4.252,7.9065,4.20638461538,7.87489321262,13,,,,,,,
485,4.185,7.8448,4.244,7.9062,4.208625,7.875407382661,8,,,,,,,
490,4.185,7.8453,4.242,7.9067,4.2125,7.875811549328,14,,,,,,,
495,4.19,7.8447,4.254,7.9065,4.22542857143,7.874594882661,7,,,,,,,
500,4.18,7.8435,4.238,7.9024,4.20772727273,7.87137424774,11,,,,,,,
505,4.188,7.8449,4.251,7.9039,4.22225,7.872923742689,4,,,,,,,
510,4.18,7.8442,4.253,7.9042,4.223625,7.871385409356,8,,,,,,,
515,4.19,7.8465,4.234,7.9037,4.21183333333,7.871706242689,6,,,,,,,
520,4.182,7.8454,4.246,7.9043,4.218625,7.871000687134,8,,,,,,,
525,4.188,7.8454,4.251,7.9058,4.21193333333,7.869488187134,15,,,,,,,
530,4.18,7.8451,4.249,7.9057,4.21152631579,7.868831217437,19,,,,,,,
535,4.19,7.845,4.249,7.9063,4.21266666667,7.869424040403,9,,,,,,,
540,4.179,7.8441,4.24,7.9042,4.20033333333,7.868065707069,9,,,,,,,
545,4.178,7.8444,4.213,7.9048,4.19322222222,7.869543484847,9,,,,,,,
550,4.194,7.8448,4.253,7.9087,4.22322222222,7.871612171716,9,,,,,,,
555,4.181,7.8442,4.254,7.9084,4.20686666667,7.870280858585,15,,,,,,,
560,4.203,7.8484,4.248,7.9074,4.22683333333,7.872927525251,6,,,,,,,
565,4.179,7.8468,4.24,7.908,4.20477777778,7.871907828282,9,,,,,,,
570,4.182,7.8501,4.261,7.909,4.2035,7.874430050504,6,,,,,,,
575,4.185,7.8509,4.25,7.9067,4.20536363636,7.875003127427,11,,,,,,,
580,4.179,7.8505,4.255,7.9043,4.21745454545,7.874700097124,11,,,,,,,
585,4.181,7.8517,4.228,7.904,4.19908333333,7.874424642579,12,,,,,,,
590,4.182,7.8521,4.246,7.906,4.21511111111,7.875346309246,9,,,,,,,
595,4.182,7.8519,4.252,7.9054,4.21390909091,7.874168531468,11,,,,,,,
600,4.188,7.8518,4.25,7.9047,4.20990909091,7.873617622377,11,,,,,,,
605,4.223,7.8515,4.244,7.9048,4.23333333333,7.873826713286,3,,,,,,,
610,4.187,7.8476,4.254,7.9052,4.21663636364,7.871605879953,11,,,,,,,
615,4.212,7.8484,4.25,7.9049,4.23,7.872392243589,6,,,,,,,
620,4.19,7.8453,4.238,7.9022,4.20923076923,7.869320815018,13,,,,,,,
625,4.181,7.8445,4.226,7.9026,4.20233333333,7.868787738095,12,,,,,,,
630,4.191,7.8453,4.252,7.9058,4.2147,7.870284404762,10,,,,,,,
635,4.185,7.8447,4.248,7.9056,4.2083,7.870439404762,10,,,,,,,
640,4.18,7.8451,4.24,7.9068,4.20333333333,7.871563950217,9,,,,,,,
645,4.181,7.8453,4.245,7.9086,4.2084,7.873594253248,15,,,,,,,
650,4.185,7.8456,4.251,7.9084,4.212,7.873799707793,15,,,,,,,
655,4.184,7.8472,4.248,7.9075,4.211125,7.874213993507,8,,,,,,,
660,4.195,7.8471,4.251,7.9079,4.2245,7.874123715729,8,,,,,,,
665,4.181,7.8458,4.223,7.9087,4.19928571429,7.872880858586,7,,,,,,,
670,4.182,7.847,4.242,7.9122,4.2039,7.875352287157,10,,,,,,,
675,4.189,7.8476,4.258,7.9139,4.2173,7.877282287157,10,,,,,,,
680,4.185,7.847,4.25,7.913,4.21625,7.876352287157,20,,,,,,,
685,4.189,7.8467,4.26,7.9139,4.21954545455,7.876357287157,11,,,,,,,
690,4.182,7.8462,4.258,7.9118,4.22363636364,7.875382741702,11,,,,,,,
695,4.184,7.8464,4.243,7.9104,4.21045454545,7.874197676767,11,,,,,,,
700,4.201,7.8464,4.242,7.9113,4.21614285714,7.874302222222,7,,,,,,,
705,4.183,7.8447,4.252,7.9124,4.21022222222,7.873537936508,9,,,,,,,
710,4.182,7.8452,4.259,7.9091,4.21207142857,7.872649047619,14,,,,,,,
715,4.193,7.8464,4.258,7.9087,4.224,7.873041904762,11,,,,,,,
720,4.188,7.8454,4.259,7.9091,4.2232,7.872375238095,10,,,,,,,
725,4.183,7.8471,4.249,7.9083,4.208,7.872605238095,14,,,,,,,
730,4.182,7.8483,4.259,7.9088,4.2163,7.874565238095,10,,,,,,,
735,4.184,7.8487,4.239,7.908,4.2098,7.874770952381,10,,,,,,,
740,4.184,7.8493,4.244,7.9093,4.21178571429,7.874474285714,14,,,,,,,
745,4.184,7.8494,4.252,7.9101,4.2115,7.873833214285,10,,,,,,,
750,4.184,7.8495,4.253,7.9075,4.2085,7.873083214285,12,,,,,,,
755,4.188,7.8496,4.219,7.9065,4.20133333333,7.874499880952,6,,,,,,,
760,4.194,7.8493,4.255,7.9096,4.216,7.875355436508,12,,,,,,,
765,4.183,7.8482,4.262,7.9073,4.21733333333,7.874322103175,12,,,,,,,
770,4.205,7.8484,4.251,7.9054,4.2255,7.873668769842,6,,,,,,,
775,4.195,7.8468,4.254,7.9061,4.2276,7.872091497115,10,,,,,,,
780,4.186,7.846,4.251,7.9055,4.21835714286,7.870993997115,14,,,,,,,
785,4.19,7.8458,4.252,7.9053,4.20683333333,7.870741616162,12,,,,,,,
790,4.185,7.8452,4.252,7.9057,4.205375,7.871312828284,8,,,,,,,
795,4.185,7.8457,4.226,7.9057,4.204,7.871593510102,9,,,,,,,
800,4.185,7.8464,4.243,7.9082,4.22266666667,7.873235176769,6,,,,,,,
805,4.185,7.8463,4.25,7.9089,4.20988888889,7.872318510102,18,,,,,,,
810,4.183,7.8465,4.232,7.9096,4.20566666667,7.873519621213,9,,,,,,,
815,4.185,7.8467,4.243,7.9123,4.2108,7.875077954546,10,,,,,,,
820,4.189,7.8468,4.258,7.9127,4.20972727273,7.874981287879,11,,,,,,,
825,4.187,7.8464,4.248,7.9114,4.216625,7.874748560606,8,,,,,,,
830,4.184,7.8467,4.249,7.9116,4.21583333333,7.874916829837,12,,,,,,,
835,4.184,7.8469,4.256,7.9125,4.21254545455,7.875733496504,11,,,,,,,
840,4.19,7.8472,4.252,7.9129,4.20818181818,7.876486643357,11,,,,,,,
845,4.192,7.8469,4.251,7.9114,4.22041666667,7.876425604396,12,,,,,,,
850,4.184,7.8463,4.25,7.9123,4.2135,7.876446437729,14,,,,,,,
855,4.187,7.8466,4.257,7.913,4.2219,7.876760723443,10,,,,,,,
860,4.185,7.8489,4.259,7.9137,4.22125,7.8779278663,12,,,,,,,
865,4.186,7.8493,4.247,7.9136,4.20983333333,7.8769428663,12,,,,,,,
870,4.185,7.8493,4.245,7.914,4.2074,7.877226199634,10,,,,,,,
875,4.19,7.8495,4.25,7.915,4.21830769231,7.877636199634,13,,,,,,,
880,4.186,7.8492,4.258,7.9159,4.224,7.877830430403,12,,,,,,,
885,4.187,7.8495,4.26,7.9143,4.22007692308,7.877260430403,13,,,,,,,
890,4.187,7.85,4.237,7.9131,4.20757142857,7.876612738095,14,,,,,,,
895,4.186,7.8501,4.26,7.9151,4.220625,7.877815595238,8,,,,,,,
900,4.187,7.8511,4.257,7.9161,4.21664285714,7.876873095238,14,,,,,,,
905,4.21,7.8514,4.264,7.9155,4.23357142857,7.877178809524,7,,,,,,,
910,4.189,7.8493,4.258,7.9163,4.2114,7.876761666667,10,,,,,,,
915,4.186,7.8491,4.251,7.9126,4.21266666667,7.875763333334,12,,,,,,,
920,4.187,7.8493,4.255,7.9129,4.2115,7.876512051282,18,,,,,,,
925,4.187,7.8503,4.259,7.9123,4.22025,7.876987051282,20,,,,,,,
