Creating graph ...
BW;Min;Max;Avg;Len
100.0;325.0;1.776;1.887;1.82507142857;14
100.0;350.0;1.629;1.849;1.7255;6
100.0;375.0;1.681;1.891;1.75976923077;13
100.0;400.0;1.74;1.879;1.79475;8
100.0;425.0;1.66;1.888;1.77876470588;17
100.0;450.0;1.662;1.866;1.771;20
100.0;475.0;1.629;1.865;1.76146153846;13
100.0;500.0;1.694;1.871;1.78242105263;19
100.0;525.0;1.719;1.876;1.81506666667;15
100.0;550.0;1.718;1.888;1.81131034483;29
100.0;575.0;1.635;1.883;1.77552631579;19
100.0;600.0;1.557;1.892;1.77129166667;24
100.0;625.0;1.76;1.873;1.824;16
100.0;650.0;1.554;1.896;1.80244444444;18
100.0;675.0;1.68;1.875;1.794;15
100.0;700.0;1.57;1.888;1.70375;4
125.0;0.0;1.561;1.816;1.6706;5
125.0;25.0;1.625;1.849;1.743;6
125.0;50.0;1.598;1.834;1.74616666667;6
125.0;75.0;1.571;1.866;1.7344;10
125.0;100.0;1.498;1.855;1.7434;5
125.0;125.0;1.571;1.849;1.72625;8
125.0;150.0;1.663;1.855;1.777625;8
125.0;175.0;1.604;1.888;1.7621;10
125.0;200.0;1.621;1.861;1.76435714286;14
125.0;225.0;1.502;1.863;1.73763636364;11
125.0;250.0;1.612;1.878;1.792;15
125.0;275.0;1.642;1.874;1.75633333333;9
125.0;300.0;1.695;1.882;1.82575;12
125.0;325.0;1.652;1.88;1.78054545455;11
125.0;350.0;1.671;1.867;1.7556;10
125.0;375.0;1.613;1.899;1.77381818182;11
125.0;400.0;1.64;1.889;1.75633333333;9
125.0;425.0;1.671;1.883;1.80769230769;13
125.0;450.0;1.576;1.865;1.76372727273;11
125.0;475.0;1.659;1.868;1.78992857143;14
125.0;500.0;1.653;1.884;1.80455;20
125.0;525.0;1.738;1.881;1.81103846154;26
125.0;550.0;1.7;1.898;1.81028;25
125.0;575.0;1.641;1.873;1.780125;24
125.0;600.0;1.737;1.889;1.80677777778;18
125.0;625.0;1.627;1.888;1.80308;25
125.0;650.0;1.625;1.891;1.80715384615;26
125.0;675.0;1.556;1.886;1.76388888889;9
125.0;700.0;1.761;1.839;1.8;2
150.0;0.0;1.503;1.868;1.67618181818;11
150.0;25.0;1.567;1.87;1.74011111111;9
150.0;50.0;1.619;1.871;1.753125;8
150.0;75.0;1.668;1.888;1.781375;8
150.0;100.0;1.637;1.861;1.77536363636;11
150.0;125.0;1.577;1.872;1.75545454545;11
150.0;150.0;1.626;1.896;1.73875;12
150.0;175.0;1.615;1.882;1.76488888889;9
150.0;200.0;1.614;1.866;1.78164285714;14
150.0;225.0;1.587;1.889;1.75045454545;11
150.0;250.0;1.646;1.876;1.7917;10
150.0;275.0;1.677;1.884;1.7965;12
150.0;300.0;1.59;1.876;1.7697;10
150.0;325.0;1.678;1.865;1.8115;8
150.0;350.0;1.587;1.889;1.754875;16
150.0;375.0;1.643;1.863;1.77266666667;6
150.0;400.0;1.608;1.873;1.75733333333;9
150.0;425.0;1.577;1.883;1.7698125;16
150.0;450.0;1.598;1.88;1.80624;25
150.0;475.0;1.525;1.882;1.74158333333;12
150.0;500.0;1.626;1.881;1.78061538462;26
150.0;525.0;1.697;1.89;1.81364285714;14
150.0;550.0;1.642;1.879;1.78726470588;34
150.0;575.0;1.58;1.889;1.79145;20
150.0;600.0;1.67;1.894;1.80203846154;26
150.0;625.0;1.609;1.894;1.79112903226;31
150.0;650.0;1.762;1.889;1.82556666667;30
150.0;675.0;1.549;1.893;1.81466666667;21
150.0;700.0;1.802;1.822;1.8105;4
175.0;0.0;1.598;1.869;1.7478;10
175.0;25.0;1.599;1.869;1.77075;16
175.0;50.0;1.625;1.871;1.767;8
175.0;75.0;1.53;1.873;1.71591666667;12
175.0;100.0;1.703;1.869;1.78964285714;14
175.0;125.0;1.576;1.877;1.7155;6
175.0;150.0;1.498;1.854;1.69188888889;9
175.0;175.0;1.591;1.862;1.73964285714;14
175.0;200.0;1.706;1.86;1.7742;5
175.0;225.0;1.642;1.819;1.72833333333;12
175.0;250.0;1.657;1.875;1.77641666667;12
175.0;275.0;1.676;1.868;1.7927;10
175.0;300.0;1.682;1.871;1.8033;10
175.0;325.0;1.684;1.84;1.7745;8
175.0;350.0;1.665;1.876;1.755625;8
