0.000000,990.320243,651.527760,1641.848003
1800.000000,1161.725599,680.657388,1842.382987
3600.000000,1279.741030,737.394427,2017.135457
5400.000000,1175.478061,787.889586,1963.367647
7200.000000,1135.937252,618.245038,1754.182290
9000.000000,1447.351589,514.449671,1961.801260
10800.000000,1385.343184,736.549500,2121.892685
12600.000000,1487.236137,768.921694,2256.157831
14400.000000,1559.770771,744.393182,2304.163953
16200.000000,1852.632971,916.685085,2769.318056
18000.000000,1693.472696,843.454608,2536.927304
19800.000000,1642.570675,714.791719,2357.362395
21600.000000,1691.036833,742.927725,2433.964558
23400.000000,1534.148264,845.396387,2379.544651
25200.000000,1386.527228,643.306833,2029.834061
27000.000000,1242.922311,426.057916,1668.980227
28800.000000,1052.424427,357.192922,1409.617349
30600.000000,1129.503130,257.849782,1387.352912
32400.000000,943.699221,170.995283,1114.694503
34200.000000,860.062362,203.442622,1063.504984
36000.000000,764.668097,134.089321,898.757418
37800.000000,736.650573,157.422534,894.073107
39600.000000,889.828631,105.418210,995.246841
41400.000000,500.325718,122.108281,622.433999
43200.000000,347.998595,132.300034,480.298628
45000.000000,333.441611,104.815990,438.257601
46800.000000,306.322924,72.771364,379.094289
48600.000000,329.460865,98.009227,427.470092
50400.000000,347.180603,135.736261,482.916864
52200.000000,405.050736,190.605639,595.656375
54000.000000,405.062169,161.432787,566.494956
55800.000000,570.340127,231.264519,801.604646
57600.000000,721.820689,333.600267,1055.420956
59400.000000,1214.194339,337.278289,1551.472628
61200.000000,1163.292437,341.967790,1505.260227
63000.000000,1331.606886,500.607643,1832.214529
64800.000000,1246.501083,722.120652,1968.621735
66600.000000,1427.360672,746.934487,2174.295159
68400.000000,1263.087291,652.294736,1915.382028
70200.000000,1050.110066,613.724527,1663.834593
72000.000000,1295.928424,799.818621,2095.747045
73800.000000,1250.821498,530.989223,1781.810721
75600.000000,1679.498048,570.114638,2249.612686
77400.000000,1549.925579,659.874258,2209.799836
79200.000000,1441.054265,586.863385,2027.917650
81000.000000,1430.776219,783.992088,2214.768307
82800.000000,1271.529983,816.419602,2087.949585
84600.000000,1006.471634,732.209999,1738.681633
86400.000000,1057.256396,731.968447,1789.224844
88200.000000,1163.173009,613.043323,1776.216332
90000.000000,1438.278455,604.339164,2042.617619
91800.000000,1358.266287,802.258851,2160.525138
93600.000000,1095.324750,686.575591,1781.900341
95400.000000,1322.702032,639.332024,1962.034057
97200.000000,1301.146209,674.702366,1975.848574
99000.000000,1483.964542,851.385210,2335.349752
100800.000000,1490.756163,572.542421,2063.298584
102600.000000,1365.653630,674.924754,2040.578384
104400.000000,1411.197777,711.974855,2123.172632
106200.000000,1561.424809,756.047476,2317.472285
108000.000000,1416.745434,779.503476,2196.248911
109800.000000,1247.184721,821.127010,2068.311731
111600.000000,1193.317347,686.136658,1879.454005
113400.000000,1073.978629,347.546422,1421.525051
115200.000000,774.585497,385.879184,1160.464680
117000.000000,771.976265,294.516639,1066.492904
118800.000000,1175.915478,182.480246,1358.395724
120600.000000,998.705601,169.780212,1168.485813
122400.000000,1170.408285,123.094104,1293.502389
124200.000000,1133.051069,108.709497,1241.760566
126000.000000,1164.041583,113.353727,1277.395310
127800.000000,545.281094,100.456039,645.737133
129600.000000,455.638207,111.256138,566.894345
131400.000000,476.192160,142.840198,619.032358
133200.000000,414.620264,165.457040,580.077303
135000.000000,488.613081,126.012137,614.625219
136800.000000,750.922286,96.769780,847.692066
138600.000000,533.294411,135.726507,669.020919
140400.000000,708.736129,225.945892,934.682021
142200.000000,666.679235,321.641801,988.321036
144000.000000,644.160358,396.715154,1040.875512
145800.000000,847.322361,505.840616,1353.162977
147600.000000,809.254329,637.314405,1446.568734
149400.000000,1413.408448,631.173417,2044.581864
151200.000000,1315.255168,571.434008,1886.689176
153000.000000,1488.856615,575.952862,2064.809477
154800.000000,1023.607991,491.706575,1515.314566
156600.000000,1127.387747,570.921298,1698.309046
158400.000000,1161.813377,677.617526,1839.430904
160200.000000,1066.877097,671.898867,1738.775964
162000.000000,974.844768,658.403114,1633.247882
163800.000000,979.222397,572.848110,1552.070507
165600.000000,999.353679,1002.153647,2001.507326
167400.000000,952.816983,934.909158,1887.726141
169200.000000,1009.653913,696.558645,1706.212558
171000.000000,1022.071435,702.293919,1724.365354
172800.000000,1100.630820,653.595867,1754.226687
174600.000000,967.152216,692.396925,1659.549141
176400.000000,1354.194057,665.384481,2019.578537
178200.000000,1654.957031,593.228150,2248.185181
180000.000000,1035.722612,661.286693,1697.009305
181800.000000,1109.116602,660.632815,1769.749417
183600.000000,1027.232390,660.509136,1687.741526
185400.000000,1095.028482,537.294495,1632.322977
187200.000000,1078.795601,489.996188,1568.791789
189000.000000,1230.158906,473.552475,1703.711381
190800.000000,1064.501716,446.738554,1511.240270
192600.000000,1137.506093,570.998557,1708.504649
194400.000000,1078.086274,513.301810,1591.388084
196200.000000,1108.953279,631.102297,1740.055576
198000.000000,1037.671018,517.416939,1555.087957
199800.000000,1061.463494,576.000706,1637.464201
201600.000000,1126.602339,405.561984,1532.164323
203400.000000,1010.193348,186.678564,1196.871912
205200.000000,1647.807158,258.749059,1906.556217
207000.000000,1163.085758,115.820900,1278.906658
208800.000000,974.776558,107.851907,1082.628464
210600.000000,995.898513,134.095717,1129.994230
212400.000000,1084.831604,58.063061,1142.894664
214200.000000,587.145394,106.297852,693.443246
216000.000000,381.098221,60.139818,441.238040
217800.000000,436.447471,97.900929,534.348401
219600.000000,345.857530,89.542285,435.399816
221400.000000,404.839987,88.434606,493.274593
